 6.5094   1.3638   2.4016   3.7338
 6.9963   2.0784   1.2413   3.3424
 6.3787   2.4207   0.5251   3.6552
 7.4014   1.8232   2.1315   5.2825
 6.5785   2.3633   1.9933   5.7702
 8.2465   2.7254   5.3655   4.6053
 5.9531   2.2081 -.380955   1.9073
 7.1482   2.6487   1.7494   4.1515
 8.6883   3.4081   2.2435   7.0139
 7.4999   3.7735   2.2907   5.9223
 8.2747   4.8386   2.6108   5.8885
 7.9220   3.5593   2.1764   6.2348
 6.9217   3.7639   3.5392   5.9716
 7.5002   4.0520   3.0851   4.6727
 6.2119   2.5779   1.6644   6.5496
 7.6183   2.3245   3.3985   5.9954
 8.0430   6.2224   0.7935   7.5101
 7.4955   4.7765   2.6664   7.1404
 7.2186   2.0311   1.3960   5.9220
 7.5597   3.2978   2.8318   6.6775
 8.1661   2.1647   4.0700   4.8277
 7.8747   4.4469   3.0718   6.5295
 7.7287   4.1979   1.6217   4.6881
 6.9081   3.0254   1.9311   6.3413
 6.9188   2.3834   2.6248   2.7165
 7.0893   2.6611   4.0654   2.7366
 7.3781   4.9943   0.7663   4.0135
 6.1396   1.8843   1.0682   2.5344
 6.4696   2.2501   4.5850   6.4619
 7.5564   2.5120   3.0534   5.9612
 7.0830   5.0536   3.5411   7.2052
 6.0344   3.0498   2.3272   4.6348
 6.6844   2.4145   2.2979   4.9163
 7.0047   3.0625   1.4290   6.1006
 6.3513   2.0435   1.4428   4.8918
 6.6686   3.6896   0.1932   5.0167
 7.8670   3.9821   1.5047   7.0859
 6.5861   4.4772   1.0563   6.7931
 5.8853   3.9280   0.4762   5.0439
 6.4152   2.4353   1.1154   4.2424
 7.4450   3.0136   0.9198   5.3124
 8.2151   3.3910   3.1286   7.5826
 6.6742   3.6485   2.6930   5.5956
 8.2300   2.1826   2.2721   6.5295
 6.4309   3.4821   1.5777   5.7841
 6.7385   1.9538   2.2761   5.2617
 7.7919   5.2994   0.9329   5.8803
 7.5645   2.1171   2.8550   3.4856
 6.7128   3.7005   2.2040   5.7463
 6.6053   3.7822   4.4402   6.5970
 7.6653   3.3894   4.4536   4.0687
 8.8507   3.4459   3.9001   5.2760
 7.5588   3.7486   3.4675   6.1734
 7.5089   4.2751   3.3091   4.8970
 6.5102   2.7746   0.7678   6.0261
 6.0839   2.3641   2.0602   3.3319
 5.8548   2.2668   1.2759   5.8135
 7.9810   3.4833   1.7280   5.3144
 6.5789   2.4680   2.8594   3.3904
